observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
2023-08-19,3408,-18,-46,S18W46,241,240,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,143,0
2023-08-19,3409,22,-56,N22W56,250,250,30,Cro,5,5,B,,f,0,0,0,,0,0,0,0,0,,15,0,0,0,2023-08-16T18:39:16,144,0
2023-08-19,3410,-30,-75,S30W75,270,270,10,Axx,1,1,A,,f,1,0,0,,1,0,0,0,0,0,5,0,0,0,2023-08-16T18:39:51,145,0
2023-08-19,3411,13,22,N13E22,171,173,50,Hsx,4,2,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-17T15:49:07,146,0
2023-08-19,3412,30,58,N30E58,136,136,40,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-18T17:47:24,147,0
2023-08-18,3397,17,-97,N17W97,305,304,20,Cao,8,2,B,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-07T07:57:40,148,0
2023-08-18,3399,-15,-90,S15W90,298,297,,,,,,,f,0,0,0,,4,0,0,0,0,0,0,0,0,0,2023-08-09T07:25:33,149,0
2023-08-18,3400,-14,-104,S14W0*,312,311,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:18,150,0
2023-08-18,3403,26,-35,N26W35,243,243,160,Dai,10,12,B,,f,0,0,0,,0,0,0,0,0,,50,10,1,1,2023-08-13T17:20:32,151,0
2023-08-18,3404,-10,7,S10E07,201,201,10,Hax,1,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,0,0,2023-08-13T21:58:28,152,0
2023-08-18,3405,11,25,N11E25,183,183,140,Eso,14,6,B,,f,1,0,0,,1,0,0,0,0,0,30,5,0,0,2023-08-14T18:42:41,153,0
2023-08-18,3406,-17,-62,S17W62,269,266,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-15T10:09:23,154,0
2023-08-18,3407,-18,-13,S18W13,223,225,140,Dso,6,5,B,,f,0,0,0,,0,0,0,0,0,,25,5,0,0,2023-08-15T10:10:05,155,0
2023-08-18,3408,-18,-32,S18W32,240,239,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-16T18:38:34,156,0
2023-08-18,3409,20,-42,N20W42,250,251,20,Bxo,4,5,B,,f,3,0,0,,2,0,0,0,0,0,15,1,0,0,2023-08-16T18:39:16,157,0
2023-08-18,3410,-30,-62,S30W62,270,269,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,0,0,0,2023-08-16T18:39:51,158,0
2023-08-18,3411,15,35,N15E35,173,167,30,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-17T15:49:07,159,0
2023-08-18,3412,32,72,N32E72,136,,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,0,0,0,2023-08-18T17:47:24,160,0
