time_tag,active,source,proton_speed,proton_temperature,proton_density,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_sample_size,alpha_speed,alpha_temperature,alpha_density,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_sample_size,max_convergence_flag,max_data_flag,max_error_count_flag,max_processing_flag,max_range_flag,max_sample_count_flag,max_telemetry_flag,overall_quality,record_Id,record_Id_0
2023-08-15T05:13:00,false,DSCOVR,304.3,18475,8.88,-302.5,32.8,-3.3,-302.5,29.8,-14.1,10,,,,,,,,,,,0,0,0,0,0,0,0,0,97,0
2023-08-15T05:13:00,true,ACE,311.1,24902,5.01,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,98,0
2023-08-15T05:12:00,false,DSCOVR,304.2,18531,8.94,-302.2,34.1,-2.7,-302.2,31.3,-13.9,12,,,,,,,,,,,0,0,0,0,0,0,0,0,99,0
2023-08-15T05:12:00,true,ACE,309.2,23525,5.09,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,100,0
2023-08-15T05:11:00,false,DSCOVR,304.8,18165,9.24,-303,33,-3.9,-303,29.8,-14.6,13,,,,,,,,,,,0,0,0,0,0,0,0,0,101,0
2023-08-15T05:11:00,true,ACE,308.8,25039,5.11,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,102,0
2023-08-15T05:10:00,false,DSCOVR,305.1,18011,9.2,-303.3,32.8,-3.7,-303.3,29.7,-14.4,12,,,,,,,,,,,0,0,0,0,0,0,0,0,103,0
2023-08-15T05:10:00,true,ACE,307.2,24561,4.95,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,104,0
2023-08-15T05:09:00,true,ACE,305.7,24331,4.73,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,105,0
2023-08-15T05:09:00,false,DSCOVR,305.2,18120,9.27,-303.5,31.7,-4.2,-303.5,28.5,-14.4,10,,,,,,,,,,,0,0,0,0,0,0,0,0,106,0
2023-08-15T05:08:00,true,ACE,305.3,23992,4.97,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,107,0
2023-08-15T05:08:00,false,DSCOVR,305.7,18538,9,-303.8,33.8,-3.7,-303.8,30.7,-14.6,13,,,,,,,,,,,0,0,0,0,0,0,0,0,108,0
2023-08-15T05:07:00,true,ACE,305.3,23184,5.16,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,109,0
2023-08-15T05:07:00,false,DSCOVR,308,17189,8.71,-306.2,32.8,-3.6,-306.2,29.8,-14.2,11,,,,,,,,,,,0,0,0,0,0,0,0,0,110,0
2023-08-15T05:06:00,false,DSCOVR,309.1,16668,8.64,-307.2,33.8,-5.2,-307.2,30.2,-16,10,,,,,,,,,,,0,0,0,0,0,0,0,0,111,0
2023-08-15T05:06:00,true,ACE,304.8,23685,4.87,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,112,0
2023-08-15T05:05:00,true,ACE,303.1,22409,4.9,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,113,0
2023-08-15T05:05:00,false,DSCOVR,308.7,16896,8.51,-306.8,34.1,-5.1,-306.8,30.5,-16,12,,,,,,,,,,,0,0,0,0,0,0,0,0,114,0
2023-08-15T05:04:00,false,DSCOVR,308.8,16835,8.62,-306.9,34.1,-3.2,-306.9,31.1,-14.2,12,,,,,,,,,,,0,0,0,0,0,0,0,0,115,0
2023-08-15T05:04:00,true,ACE,301.8,22253,4.54,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,116,0
2023-08-15T05:03:00,true,ACE,301.8,26017,4.32,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,117,0
