time_tag,Obsdate,Obstime,Station,Observatory,Type,Quality,Region,Latitude,Report_Longitude,Longitude,Report_Location,Location,Carlon,Extent,Area,Numspot,Zurich,Penumbra,Compact,Spotclass,Magcode,Magclass,Obsid,Report_Status,ValidSpotClass,record_Id,record_Id_0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3394,-22,43,35,S22E43,S22E35,344,4,60,2,3,2,2,Cso,2,B,277,2,1,84,0
2023-08-05T11:00:00,2023-08-05T00:00:00,1100,16320,SVI,spt,2,3395,15,61,53,N15E61,N15E53,326,8,50,3,4,2,2,Dso,2,B,279,2,1,85,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3386,12,-58,-63,N12W58,N12W63,96,6,560,8,4,4,3,Dhi,2,B,300,2,1,86,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3387,23,-30,-35,N23W30,N23W35,68,6,80,3,4,2,2,Dso,2,B,301,2,1,87,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3388,-23,-40,-45,S23W40,S23W45,78,2,10,3,1,0,1,Axx,1,A,311,2,1,88,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3391,23,3,-2,N23E03,N23W02,35,3,160,4,7,2,1,Hsx,1,A,307,2,1,89,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3392,10,0,-5,N10W00,N10W05,38,8,200,15,4,5,3,Dki,3,BG,309,2,1,90,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3393,17,-26,-31,N17W26,N17W31,64,0,0,1,1,0,1,Axx,1,A,308,2,1,91,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3394,-23,51,46,S23E51,S23E46,347,4,190,2,7,4,1,Hhx,1,A,312,2,1,92,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,3395,14,70,65,N14E70,N14E65,328,5,170,2,4,2,2,Dso,2,B,313,2,1,93,0
2023-08-04T15:25:00,2023-08-04T00:00:00,1525,72269,HOL,spt,3,,-20,-1,-6,S20W01,S20W06,39,0,0,1,1,0,1,Axx,1,A,314,2,1,94,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3380,-11,-79,-90,S11W79,S11W90,123,4,30,2,3,2,2,Cso,2,B,259,2,1,95,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3386,11,-48,-59,N11W48,N11W59,92,9,170,7,3,5,2,Cko,2,B,265,2,1,96,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3387,23,-24,-35,N23W24,N23W35,68,5,40,6,3,3,2,Cao,2,B,266,2,1,97,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3388,-24,-33,-44,S24W33,S24W44,77,2,10,2,3,2,2,Cso,2,B,267,2,1,98,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3391,24,9,-2,N24E09,N24W02,35,2,60,1,7,3,1,Hax,1,A,271,2,1,99,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3392,11,4,-7,N11E04,N11W07,40,8,120,5,4,3,2,Dao,2,B,274,2,1,100,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3394,-22,59,48,S22E59,S22E48,345,5,80,3,3,2,2,Cso,2,B,277,2,1,101,0
2023-08-04T05:10:00,2023-08-04T00:00:00,0510,16320,SVI,spt,3,3395,14,77,66,N14E77,N14E66,327,8,60,2,3,2,2,Cso,2,B,279,2,1,102,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3386,11,-49,-62,N11W49,N11W62,94,3,260,3,3,4,2,Cho,2,B,243,2,1,103,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3387,22,-23,-36,N22W23,N22W36,68,3,50,3,3,2,2,Cso,2,B,244,2,1,104,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3392,10,7,-6,N10E07,N10W06,38,7,180,8,4,4,2,Dho,3,BG,251,2,1,105,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3391,24,11,-2,N24E11,N24W02,34,2,100,1,7,2,1,Hsx,1,A,248,2,1,106,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3395,15,75,62,N15E75,N15E62,330,5,80,3,3,3,2,Cao,2,B,255,2,1,107,0
2023-08-04T02:05:00,2023-08-04T00:00:00,0205,94302,LEA,spt,2,3394,-23,59,46,S23E59,S23E46,346,4,220,2,3,3,2,Cao,2,B,253,2,1,108,0
